atv_remunerada,renda_mensal,num_mem_familia,renda_mensal_familia,sit_pai_trabalho,sit_mae_trabalho,ens_fundamental,ens_medio,tempo_concluiu_ens_medio,cor,hab_ler_jornal_revista,livros_lidos_ano,atv_ocup_tempo,meio_informado,faixa_etaria,procedencia,rep_ens_fundamental,rep_ens_medio,esc_pai,esc_mae,deficiencia,Evadiu
Nao,Nao tenho nenhuma renda mensal.,De 1 a 3 pessoas,"De 1 até 1,5 salário mínimo.",Outra situação,Outra situação,Escola pública municipal,Escola pública federal,Há mais de 5 anos,"Pardo(a), Mulato(a)",Diariamente,Mais de 05 livros,Nenhuma dessas atividades,Internet,De 30 a 39 anos,Zona rural,1 vez,Nenhuma vez,Ensino fundamental completo,Ensino fundamental incompleto,Não apresento nenhum tipo de deficiência,Sim
Nao,Nao tenho nenhuma renda mensal.,De 4 a 6 pessoas,"De 1 até 1,5 salário mínimo.",Trabalha regularmente,Trabalha regularmente,Escola pública estadual ,Escola pública estadual,Entre 3 e 4 anos (incompletos),"Pardo(a), Mulato(a)",Semanalmente,Mais de 05 livros,Televisão,Jornal falado (TV),De 20 a 24 anos,Zona urbana,Nenhuma vez,Nenhuma vez,Ensino fundamental incompleto,Ensino fundamental incompleto,Não apresento nenhum tipo de deficiência,Sim
Nao,Nao tenho nenhuma renda mensal.,De 4 a 6 pessoas,"De 1 até 1,5 salário mínimo.",Trabalha regularmente,Trabalha regularmente,Escola pública estadual ,Outra situação,Entre 3 e 4 anos (incompletos),Negro(a),Semanalmente,03 e 05 livros,Internet,Jornal falado (TV),De 18 a 19 anos,Zona urbana,Nenhuma vez,1 vez,Ensino médio completo,Ensino médio completo,Não apresento nenhum tipo de deficiência,Sim
Nao,Nao tenho nenhuma renda mensal.,De 1 a 3 pessoas,"De 0,5 até 1 salário mínimo.",Trabalha regularmente,Outra situação,Escola pública municipal,Escola pública estadual,Ainda estou cursando o ensino médio,Negro(a),Semanalmente,Mais de 05 livros,Leitura,Internet,De 15 a 17 anos,Comunidade Remanescente Quilombola,Nenhuma vez,Nenhuma vez,Superior incompleto,Analfabeta,Não apresento nenhum tipo de deficiência,Sim
Nao,Nao tenho nenhuma renda mensal.,De 4 a 6 pessoas,"De 2,5 até 3 salários mínimos.",Trabalha regularmente,Está desempregada,Escola pública estadual ,Escola pública federal,Menos de um ano,"Pardo(a), Mulato(a)",Semanalmente,03 e 05 livros,Internet,Internet,De 15 a 17 anos,Zona urbana,Nenhuma vez,Nenhuma vez,Superior completo,Superior completo,Não apresento nenhum tipo de deficiência,Sim
Nao,Nao tenho nenhuma renda mensal.,De 4 a 6 pessoas,"De 1 até 1,5 salário mínimo.",Trabalha regularmente,Trabalha regularmente,Escola pública estadual ,Escola pública estadual,Entre 2 e 3 anos (incompletos),"Pardo(a), Mulato(a)",Semanalmente,03 e 05 livros,Internet,Internet,De 20 a 24 anos,Zona urbana,Nenhuma vez,Nenhuma vez,Ensino fundamental incompleto,Ensino médio completo,Não apresento nenhum tipo de deficiência,Sim
Nao,Nao tenho nenhuma renda mensal.,De 7 a 9 pessoas,"De 0,5 até 1 salário mínimo.",Está desempregado,Está desempregada,Escola pública estadual ,Escola pública estadual,Ainda estou cursando o ensino médio,Negro(a),Ocasionalmente,Mais de 05 livros,Leitura,Jornal falado (TV),De 18 a 19 anos,Zona rural,Nenhuma vez,Nenhuma vez,Ensino fundamental incompleto,Ensino fundamental incompleto,Não apresento nenhum tipo de deficiência,Sim
"Sim, em tempo integral (mais de 30 horas semanais).","De 0,5 até 1 salário mínimo.",De 4 a 6 pessoas,"De 1,5 até 2.5 salários mínimos.",Vive de renda,Está desempregada,Escola pública estadual ,Escola pública estadual,Há mais de 5 anos,Branco(a),Semanalmente,01 e 02 livros,Leitura,Internet,De 25 a 29 anos,Zona rural,Nenhuma vez,Nenhuma vez,Ensino fundamental incompleto,Ensino fundamental incompleto,Não apresento nenhum tipo de deficiência,Sim
Nao,Nao tenho nenhuma renda mensal.,De 4 a 6 pessoas,Mais do que 3 salários mínimos.,Trabalha regularmente,Trabalha regularmente,Escola particular,Escola particular,Menos de um ano,Negro(a),Ocasionalmente,01 e 02 livros,Internet,Internet,De 15 a 17 anos,Zona urbana,Nenhuma vez,Nenhuma vez,Ensino médio completo,Ensino médio completo,Não apresento nenhum tipo de deficiência,Sim
"Sim, em tempo integral (mais de 30 horas semanais).","De 0,5 até 1 salário mínimo.",De 1 a 3 pessoas,"De 0,5 até 1 salário mínimo.",Está desempregado,Está desempregada,Escola pública estadual ,Escola pública estadual,Há mais de 5 anos,"Pardo(a), Mulato(a)",Ocasionalmente,01 e 02 livros,Internet,Internet,De 20 a 24 anos,Zona urbana,Nenhuma vez,Nenhuma vez,Ensino fundamental incompleto,Ensino fundamental completo,Não apresento nenhum tipo de deficiência,Sim
